driver_id,round,position,grid_position,points,status,laps_completed,rarity
tsunoda,12,15.0,11.0,0.0,Lapped,51.0,Common
antonelli,12,16.0,10.0,0.0,Retired,23.0,Common
hadjar,12,17.0,12.0,0.0,Retired,17.0,Common
bortoleto,12,18.0,16.0,0.0,Retired,3.0,Common
lawson,12,19.0,15.0,0.0,Retired,0.0,Common
colapinto,12,20.0,20.0,0.0,Did not start,0.0,Common
piastri,13,1.0,2.0,25.0,Finished,44.0,Legendary
norris,13,2.0,1.0,18.0,Finished,44.0,Epic
leclerc,13,3.0,3.0,15.0,Finished,44.0,Epic
max_verstappen,13,4.0,4.0,12.0,Finished,44.0,Rare
russell,13,5.0,6.0,10.0,Finished,44.0,Rare
albon,13,6.0,5.0,8.0,Finished,44.0,Rare
hamilton,13,7.0,18.0,6.0,Finished,44.0,Rare
lawson,13,8.0,9.0,4.0,Finished,44.0,Rare
bortoleto,13,9.0,10.0,2.0,Finished,44.0,Rare
gasly,13,10.0,13.0,1.0,Finished,44.0,Rare
bearman,13,11.0,12.0,0.0,Finished,44.0,Common
hulkenberg,13,12.0,14.0,0.0,Finished,44.0,Common
tsunoda,13,13.0,7.0,0.0,Finished,44.0,Common
stroll,13,14.0,16.0,0.0,Finished,44.0,Common
ocon,13,15.0,11.0,0.0,Finished,44.0,Common
antonelli,13,16.0,19.0,0.0,Finished,44.0,Common
alonso,13,17.0,20.0,0.0,Finished,44.0,Common
sainz,13,18.0,17.0,0.0,Finished,44.0,Common
colapinto,13,19.0,15.0,0.0,Finished,44.0,Common
hadjar,13,20.0,8.0,0.0,Lapped,43.0,Common
norris,14,1.0,3.0,25.0,Finished,70.0,Legendary
piastri,14,2.0,2.0,18.0,Finished,70.0,Epic
russell,14,3.0,4.0,15.0,Finished,70.0,Epic
leclerc,14,4.0,1.0,12.0,Finished,70.0,Rare
alonso,14,5.0,5.0,10.0,Finished,70.0,Rare
bortoleto,14,6.0,7.0,8.0,Finished,70.0,Rare
stroll,14,7.0,6.0,6.0,Finished,70.0,Rare
lawson,14,8.0,9.0,4.0,Finished,70.0,Rare
max_verstappen,14,9.0,8.0,2.0,Finished,70.0,Rare
antonelli,14,10.0,15.0,1.0,Lapped,69.0,Rare
hadjar,14,11.0,10.0,0.0,Lapped,69.0,Common
hamilton,14,12.0,12.0,0.0,Lapped,69.0,Common
hulkenberg,14,13.0,18.0,0.0,Lapped,69.0,Common
sainz,14,14.0,13.0,0.0,Lapped,69.0,Common
albon,14,15.0,19.0,0.0,Lapped,69.0,Common
ocon,14,16.0,17.0,0.0,Lapped,69.0,Common
tsunoda,14,17.0,20.0,0.0,Lapped,69.0,Common
colapinto,14,18.0,14.0,0.0,Lapped,69.0,Common
gasly,14,19.0,16.0,0.0,Lapped,69.0,Common
bearman,14,20.0,11.0,0.0,Retired,48.0,Common
piastri,15,1.0,1.0,25.0,Finished,72.0,Legendary
max_verstappen,15,2.0,3.0,18.0,Finished,72.0,Epic
hadjar,15,3.0,4.0,15.0,Finished,72.0,Epic
russell,15,4.0,5.0,12.0,Finished,72.0,Rare
albon,15,5.0,15.0,10.0,Finished,72.0,Rare
bearman,15,6.0,20.0,8.0,Finished,72.0,Rare
stroll,15,7.0,19.0,6.0,Finished,72.0,Rare
alonso,15,8.0,10.0,4.0,Finished,72.0,Rare
tsunoda,15,9.0,12.0,2.0,Finished,72.0,Rare
ocon,15,10.0,18.0,1.0,Finished,72.0,Rare
colapinto,15,11.0,16.0,0.0,Finished,72.0,Common
lawson,15,12.0,8.0,0.0,Finished,72.0,Common
sainz,15,13.0,9.0,0.0,Finished,72.0,Common
hulkenberg,15,14.0,17.0,0.0,Finished,72.0,Common
bortoleto,15,15.0,13.0,0.0,Finished,72.0,Common
antonelli,15,16.0,11.0,0.0,Finished,72.0,Common
gasly,15,17.0,14.0,0.0,Finished,72.0,Common
